ranking,podcast,produtora,país,formato,data-base,link
66,Minuto de Silêncio,Minuto de Silêncio,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/5ef20090-7f20-0132-e77f-5f4c86fd3263
67,Bilheteria - Overloadr,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/2442f520-1fdd-0132-b44a-5f4c86fd3263
68,Poucas,Caue Moura,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/4a160770-dc53-0136-3249-08b04944ede4
70,Cinemático,B9,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/6be6ad10-1938-0135-52f8-452518e2d253
71,NBW,Nós Brigamos no War,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/ecc40e50-6337-0131-7426-723c91aeae46
72,Freakonomics,Dubner Productions and Stitcher,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/d81fbcb0-0422-012e-f9a0-00163e1b201c
73,Se Eu Fosse Você | Não Salvo,Se Eu Fosse Você | Não Salvo,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/3a727bd0-23f4-0135-52f8-452518e2d253
74,Pouco Pixel,Pouco Pixel,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/a67ba7b0-cf67-0132-42ec-0b39892d38e0
75,GunCast,Murilo Gun,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/1685b870-4c1d-0133-c354-0d11918ab357
76,Zing!,Alexandre Maron,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/e6ca9ff0-935c-0132-f06b-5f4c86fd3263
77,Imagina Juntas,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/9bd46bb0-a575-0135-9e27-5bb073f92b78
79,TemaCast,TemaCast,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/60345b00-37d7-0132-c1f9-5f4c86fd3263
80,Academia CBN - Mario Sergio Cortella,CBN,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/52977a70-7836-0130-00dd-723c91aeae46
82,Um Milkshake Chamado Wanda,Um Milkshake Chamado Wanda,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/19564050-1b38-0132-b153-5f4c86fd3263
83,Pelada na Net Podcast,Pelada na Net,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/1cefc690-9322-012f-3516-525400c11844
