episode_title,episode_date,length_minutes,n_episodes,title,author,frequency
NerdTech 32 - Era uma vez na internet,2018-10-05,56,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 639 - Venom nos quadrinhos,2018-09-28,99,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 45 - Pega a visão do Rick Chesther,2018-09-28,64,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 638 - Profissão: Videomaker,2018-09-21,102,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 08 - What song is this?,2018-09-21,42,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 637 - O futuro da mobilidade urbana,2018-09-14,101,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCash 03 - As eleições e o mercado,2018-09-14,47,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 636 - Viajar é se f*der 2,2018-09-07,105,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 31 - Desenvolvendo Apps,2018-09-07,53,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 635 - Drácula: História e mito,2018-08-31,75,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 44 - Por que grandes empresas quebram?,2018-08-31,61,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 634 - Cientistas em empresas de tecnologia,2018-08-24,81,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 633 - Westworld: bugou tudo,2018-08-17,108,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 07 - Experiências formais em inglês,2018-08-17,81,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 632 - O mundo depois de Thanos,2018-08-10,89,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCash 02 - Organizando as finanças pessoais,2018-08-10,60,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 631 - League of Legends: Confia na call,2018-08-03,95,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 30 - Breve história do Vale do Silício,2018-08-03,65,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 630 - Nerdtour Rússia,2018-07-27,135,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 43 - O jogo dos negócios,2018-07-27,43,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 629 - Black Mirror precisa de um abraço!,2018-07-20,109,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 06 - Phrasal Verbs,2018-07-20,43,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 628 - Quem sou eu?,2018-07-13,90,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCash 01 - Aprendendo a não deixar dinheiro parado,2018-07-13,50,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 627 - As Grandes Navegações,2018-07-06,102,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 29 - Por dentro da Wikipedia,2018-07-06,63,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 626 - Como funciona o Brasil: Urna Eletrônica,2018-06-29,78,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 42 - Brainstorm de um novo negócio,2018-06-29,46,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 625 - Permanentemente desgraçado da minha cabeça!,2018-06-22,129,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 624 - A evolução da Bolsa de Valores,2018-06-15,90,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 05 - Pronúncia,2018-06-15,44,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 623 - Especial Dia dos Namorados 2018,2018-06-08,197,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 622 - Han Solo: É o que tem pra hoje,2018-06-01,114,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 28 - UX – As experiências e frustrações 2,2018-06-01,47,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 621 - Profissão: Artista de Games,2018-05-25,115,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 41 - Comecei meu negócio. E agora?,2018-05-25,53,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 620 - A consolidação dos Estados Unidos,2018-05-18,85,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 04 - Falsos cognatos,2018-05-18,46,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 619 - Eternos Adolescentes,2018-05-11,83,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 618 - Vingadores: Hype Infinito,2018-05-04,117,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 27 - Sucesso comercial no YouTube,2018-05-04,57,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 617 - A nova corrida espacial,2018-04-27,82,830,NerdCast,Jovem Nerd,Weekly podcast
"Empreendedor 40 - Sócio, pra que te quero",2018-04-27,55,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 616 - Foi Golpe!,2018-04-20,103,830,NerdCast,Jovem Nerd,Weekly podcast
